tier,category,publication,domain,route,claimed_da_dr_unverified,notes
1,National finance/business news,Financial Times,ft.com,Editorial/PR pitch only - will not sell or casually give links,Not found - assume very high,"Extremely hard to secure but highest value if you ever do. Not a realistic near-term target, included for completeness."
1,National finance/business news,FT Adviser,ftadviser.com,Editorial/PR pitch to journalists,Not found - assume high,Adviser-facing FT title. Same caveats as FT.
1,National finance/business news,MoneyWeek,moneyweek.com,Editorial/PR pitch,Not found - assume high,Investment-focused; bridging/property finance angle needed to be relevant.
1,National finance/business news,Financial News (FN London),fnlondon.com,Editorial/PR pitch,Not found - assume high,City/institutional finance focus - lower fit for bridging.
1,National finance/business news,Morningstar UK,morningstar.co.uk,Editorial/PR pitch,Not found - assume high,Investment research focus - lower fit.
1,National finance/business news,City AM,cityam.com,Editorial/PR pitch,Not found - assume high,London business daily - property/finance stories run often.
1,National finance/business news,This Is Money (Daily Mail),thisismoney.co.uk,Editorial/PR pitch,Not found - assume high,Mass consumer audience - bridging angle would need a strong human-interest hook.
1,National finance/business news,Investors Chronicle,investorschronicle.co.uk,Editorial/PR pitch,Not found - assume high,Investment focus.
1,National finance/business news,Citywire,citywire.com,Editorial/PR pitch,Not found - assume high,Wealth management/adviser audience.
1,National finance/business news,Proactive Investors UK,proactiveinvestors.co.uk,Editorial/PR pitch,Not found - assume moderate-high,Company news focus - lower fit unless Boxx itself is the story.
2,Bridging/mortgage trade press,Bridging & Commercial,bridgingandcommercial.co.uk,Editorial pitch / expert comment (already in backlink-outreach.js target list),45 (self-reported in our own system - unverified),Primary bridging trade title. Check past articles for whether quoted experts get linked before prioritising.
2,Bridging/mortgage trade press,Development Finance Today,developmentfinancetoday.co.uk,Editorial pitch,30 (self-reported - unverified),Development/bridging specialist.
2,Bridging/mortgage trade press,Mortgage Solutions,mortgagesolutions.co.uk,Editorial pitch,52 (self-reported - unverified),Major mortgage trade press.
2,Bridging/mortgage trade press,The Intermediary,theintermediary.co.uk,Editorial pitch,38 (self-reported - unverified),Broker-focused - bridging regularly featured.
2,Bridging/mortgage trade press,Mortgage Finance Gazette,mortgagefinancegazette.com,Editorial pitch,Not found - check yourself,Has a dedicated bridging finance news section.
2,Bridging/mortgage trade press,Mortgage Strategy,mortgagestrategy.co.uk,Editorial pitch,Not found - check yourself,Well-established mortgage trade title.
2,Bridging/mortgage trade press,Financial Reporter,financialreporter.co.uk,Editorial pitch,Not found - check yourself,Covers mortgage/bridging/protection news.
2,Bridging/mortgage trade press,Mortgage Introducer,mortgageintroducer.com,Editorial pitch,Not found - check yourself,Broker trade press.
3,Property investment/landlord,Property Investor Today,propertyinvestortoday.co.uk,Editorial pitch (already in our target list),35 (self-reported - unverified),Investor-focused audience - good fit for bridging case studies.
